2002,Paulius,Šarka,7,0,0,7,1,0,15,201,58.16%,Bronze,medal
2002,Andrius,Stankevicius,3,0,0,0,0,2,5,360,24.90%
2001,Dmitrij,Lukaševic,0,0,0,0,3,0,3,364,23.09%
2001,Aivaras,Novikas,7,0,1,7,3,0,18,127,73.31%,Bronze,medal
2001,Justinas,Pelenis,2,0,1,2,2,0,7,296,37.50%
2001,Paulius,Šarka,0,0,1,1,0,1,3,364,23.09%
2001,Andrius,Stankevicius,0,0,0,0,1,0,1,429,9.32%
2001,Vaidotas,Vitkauskas,2,0,1,1,3,0,7,296,37.50%
2000,Gediminas,Lukšys,3,1,3,7,1,0,15,161,65.22%,Bronze,medal
2000,Aivaras,Novikas,3,0,0,2,0,0,5,350,24.13%
2000,Justinas,Pelenis,2,1,0,7,0,0,10,230,50.22%,Honourable,mention
2000,Paulius,Šarka,0,0,0,0,0,0,0,451,2.17%
2000,Raivydas,Simenas,0,1,0,0,0,0,1,438,5.00%
2000,Vaidotas,Vitkauskas,0,1,0,2,0,0,3,394,14.57%
1999,Paulius,Drungilas,5,1,0,1,3,3,13,178,60.58%,Bronze,medal
1999,Mindaugas,Galvonas,3,0,2,1,0,1,7,316,29.84%
1999,Gediminas,Lukšys,5,1,3,5,0,1,15,138,69.49%,Bronze,medal
1999,Justinas,Pelenis,2,0,3,1,0,1,7,316,29.84%
1999,Audrius,Posochovas,4,1,0,1,0,1,7,316,29.84%
1999,Remigijus,Staniulis,2,0,1,1,0,1,5,371,17.59%
1998,Vaidas,Balys,0,0,0,0,0,0,0,404,3.59%
1998,Adomas,Birstunas,0,7,0,1,0,0,8,271,35.41%,Honourable,mention
1998,Paulius,Drungilas,3,0,2,0,2,0,7,281,33.01%
1998,Mindaugas,Galvonas,0,7,7,3,0,0,17,165,60.77%,Bronze,medal
1998,Jurate,Juozilaityte,0,0,0,3,1,0,4,326,22.25%
1998,Audrius,Posochovas,0,0,2,2,0,0,4,326,22.25%
1997,Vaidas,Balys,2,0,0,0,0,0,2,408,11.33%
1997,Adomas,Birstunas,1,0,1,4,0,0,6,356,22.66%
1997,Vaidas,Gasiūnas,4,7,7,3,7,0,28,79,83.01%,Silver,medal
1997,Mindaugas,Juodis,1,0,0,0,7,0,8,322,30.07%,Honourable,mention
1997,Vaidotas,Šileika,6,0,0,3,7,0,16,200,56.64%,Bronze,medal
1997,Robertas,Zubrickas,1,0,0,0,6,0,7,340,26.14%
1996,Giedrius,Alkauskas,5,0,5,4,0,7,21,82,80.85%,Silver,medal
1996,Vaidas,Gasiūnas,2,1,6,0,1,7,17,121,71.63%,Bronze,medal
1996,Gytis,Karčiauskas,2,0,1,0,0,0,3,353,16.78%
1996,Andrius,Klivečka,2,1,2,0,0,0,5,290,31.68%
1996,Vytautas,Paškūnas,0,7,5,1,0,1,14,150,64.78%,Bronze,medal
1996,Vaidotas,Šileika,7,0,1,0,0,0,8,236,44.44%,Honourable,mention
1995,Giedrius,Alkauskas,0,6,1,7,0,2,16,222,46.23%,Honourable,mention
1995,Kestutis,Gadeikis,0,0,1,5,0,0,6,337,18.25%
1995,Remigijus,Jodelis,0,0,7,6,0,0,13,263,36.25%,Honourable,mention
1995,Ignas,Krasuckis,4,0,0,1,2,0,7,329,20.19%
1995,Vytautas,Paškūnas,7,1,3,6,0,0,17,210,49.15%,Honourable,mention
1995,Vytenis,Pazemys,7,0,1,7,0,0,15,230,44.28%,Honourable,mention
1994,Paulius,Cerka,5,2,6,2,1,2,18,193,50.00%
1994,Nerijus,Kukuraitis,1,1,0,1,1,2,6,339,11.98%
1994,Dalius,Masalas,1,0,7,1,0,2,11,284,26.30%,Honourable,mention
1994,Vytautas,Paškūnas,0,0,7,7,5,1,20,176,54.43%,Bronze,medal
1994,Sigitas,Rupelkis,1,1,2,1,1,0,6,339,11.98%
1994,Arunas,Seputis,6,0,1,2,3,0,12,268,30.47%
1993,Paulius,Cerka,0,1,1,0,3,1,6,265,35.92%
1993,Aleksandras,Gutmanas,1,1,0,0,3,5,10,199,51.94%
1993,Mindaugas,Kavaliauskas,0,3,0,0,3,0,6,265,35.92%
1993,Aiste,Mackeviciute,0,1,0,3,2,0,6,265,35.92%
1993,Dalia,Nemeiksyte,1,0,4,1,1,0,7,241,41.75%
1993,Aidas,Sapnagis,1,0,0,4,1,0,6,265,35.92%
1992,Mindaugas,Kavaliauskas,2,1,1,5,0,0,9
1992,Darius,Krasauskas,0,1,3,0,1,2,7
1992,Aidas,Sapnagis,6,1,0,0,0,3,10
